Transcript	Gene	sw480-1	sw480-2	sw480-3	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3
NR_046018	DDX11L1	0.029243076	0	0.028824676	0	0	0	0.028770769	0.032628961	0
NR_024540	WASH7P	10.02239037	9.784377098	10.25584888	8.056397438	7.294953823	7.735621452	7.65735054	9.202215195	8.199276924
NR_026818_2	FAM138A	0	0	0	0	0	0	0	0	0
NR_026820_2	FAM138F	0	0	0	0	0	0	0	0	0
NM_001005484	OR4F5	0	0	0	0	0	0	0	0	0
NR_039983	LOC729737	0.30888465	0.28106305	0.260970205	0.572778344	0.510475159	0.507493436	0.26916489	0.167400762	0.259120047
NR_028322_2	LOC100132287	0.077383734	0.022004278	0.032689955	0.043483656	0.034878399	0.011772265	0.032628816	0.037004378	0.020940773
NR_028325	LOC100132062	0.077383734	0.022004278	0.032689955	0.043483656	0.034878399	0.011772265	0.032628816	0.037004378	0.020940773
NR_028327_2	LOC100133331	0.079140402	0.02250379	0.033432037	0.044470765	0.035670161	0.012039503	0.033369511	0.037844405	0.021416143
NM_001005221	OR4F29	0	0	0	0	0	0	0	0	0
NM_001005224	OR4F3	0	0	0	0	0	0	0	0	0
NM_001005277_2	OR4F16	0	0	0	0	0	0	0	0	0
NM_001005221_2	OR4F29	0	0	0	0	0	0	0	0	0
NM_001005224_2	OR4F3	0	0	0	0	0	0	0	0	0
NM_001005277_3	OR4F16	0	0	0	0	0	0	0	0	0
NR_028327_3	LOC100133331	0.101751946	0.157526523	0.11144013	0.07782384	0.118900537	0.072237022	0.055615854	0.088303611	0.096372642
NR_033908	LOC100288069	4.686485291	5.611010075	4.75836277	3.776908636	3.001678944	3.752355576	3.882773399	3.853025436	3.037022829
NR_024321	LINC00115	1.063763976	0.876161158	0.759290516	1.839635849	1.543088675	2.031229496	0.938315809	0.818573117	0.868557096
NR_015368	LOC643837	1.557651758	1.446385741	1.586789012	1.78092134	1.849778295	2.134935141	1.407841206	1.264002204	1.355302691
NR_047519	LOC643837	1.611269355	1.454584718	1.735793352	1.942020655	1.941972375	2.330807447	1.592259884	1.384169102	1.458560586
NR_047520	LOC643837	1.623005748	1.46517992	1.748437047	1.956166506	1.956117868	2.347785234	1.603857994	1.386238456	1.469184875
NR_047521	LOC643837	1.597432137	1.401074052	1.703993917	1.907982349	1.925464988	2.291441202	1.550102592	1.318480015	1.43007791
NR_047522	LOC643837	1.60933888	1.411517143	1.716694832	1.922203779	1.939816833	2.308520555	1.561656594	1.320108056	1.440737128
NR_047523	LOC643837	1.546912432	1.370117784	1.670691848	1.848704934	1.899297118	2.191152573	1.507364273	1.255287647	1.388019919
NR_047524	LOC643837	1.49302721	1.254438519	1.649152756	1.837081432	1.799008131	2.197129726	1.468913198	1.238958001	1.37856555
NR_047526	LOC643837	1.09468174	0.964444578	1.185152531	1.270588517	1.623080611	1.280386806	0.741541982	0.840983629	0.645881236
NR_047525	LOC643837	1.622724891	1.429786444	1.738914013	1.93976295	1.957095504	2.322546244	1.581869245	1.328888655	1.43823421
NR_027055	FAM41C	1.019428015	0.817292571	0.725719512	0.807544529	1.042331219	1.296674252	0.417901337	0.821500123	0.56322819
NR_026874	LOC100130417	0	0.096934162	0	0	0	0	0	0	0.092249162
NM_152486	SAMD11	6.487932682	5.214557171	5.854411602	9.65370369	8.076475143	9.044132233	4.857145786	5.297441006	5.37457943
NM_015658	NOC2L	64.26896667	61.73044586	68.80853271	96.72538757	93.39268494	94.95239258	55.82995987	60.64092255	55.38059998
NM_198317	KLHL17	5.407505512	4.650420189	4.512973309	6.243949413	5.409552574	5.918960571	3.040096283	3.195500374	2.96233511
NM_001160184	PLEKHN1	2.968038321	2.765347958	2.323859215	4.409043312	3.829835415	4.259046078	1.636085033	1.878973126	1.794336677
NM_032129	PLEKHN1	2.757670641	2.664397001	2.281713247	4.275530338	3.556433916	4.094148159	1.445683122	1.909065962	1.792093635
NR_027693	C1orf170	0.762782514	0.695885241	0.548237741	0.718839169	0.668502629	0.964589894	0.547212422	0.531937957	0.526791275
NM_021170	HES4	4.419169426	3.898325205	4.207443714	4.049358845	4.013794899	3.208614826	1.43279624	2.465419769	1.71226716
NM_001142467	HES4	4.421394825	4.029771805	4.220510483	4.119008064	3.915699244	3.518863678	1.694204688	2.544555902	1.939543128
NM_005101	ISG15	40.11289215	39.05544281	33.24705505	66.33705902	70.64044952	67.2798996	27.97520638	28.65116882	29.54189491
NM_198576	AGRN	75.23392487	66.58654022	65.98061371	55.61159134	47.8657341	48.5446167	41.43081284	44.30114746	42.40791702
NM_001205252	RNF223	0.043056652	0.085702933	0.084881224	0.169361472	0.226409078	0.183403909	0	0.048041929	0.081560761
NM_017891	C1orf159	8.449580193	6.3983922	7.310233593	9.708903313	7.920357227	7.775400639	4.382455349	5.12386322	4.980051517
NR_038869	LOC254099	0	0	0.029430384	0.088082619	0.125602454	0.031795297	0.029375343	0	0
NR_029639	MIR200B	0	0	0	0	0	0	0	0	0
NR_029834	MIR200A	0	0	0	0	0	0	0	0	0
NR_029957	MIR429	0	0	0	0	0	0	0	0	0
NM_001130045	TTLL10	0.042770747	0.042566929	0	0.042059224	0.02249057	0.045546521	0.021039976	0	0
